starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
2020-08-01 00:01:37.9240,2020-08-01 00:15:22.3370,2012,E 27 St & 1 Ave,40.739445,-73.976806,529,W 42 St & 8 Ave,40.7575699,-73.99098507,25045,Customer,1991,1
2020-08-01 00:01:42.4700,2020-08-01 00:38:56.4560,476,E 31 St & 3 Ave,40.74394314,-73.97966069,315,South St & Gouverneur Ln,40.70355377,-74.00670227,15741,Subscriber,1978,1
2020-08-01 00:01:42.6710,2020-08-01 00:39:47.1190,3122,48 Ave & 5 St,40.7443632870669,-73.9558732509613,3116,Huron St & Franklin St,40.73266,-73.95826,40767,Customer,1996,2
2020-08-01 00:01:42.6920,2020-08-01 00:08:41.3630,3241,Monroe St & Tompkins Ave,40.686203,-73.944694,120,Lexington Ave & Classon Ave,40.68676793,-73.95928168,17993,Subscriber,1964,0
2020-08-01 00:01:46.4450,2020-08-01 00:11:14.8100,3093,N 6 St & Bedford Ave,40.71745169,-73.95850939,3856,Kingsland Ave & Nassau Ave,40.72577,-73.94173,41749,Subscriber,1988,1
2020-08-01 00:01:46.9660,2020-08-01 00:10:26.9140,486,Broadway & W 29 St,40.7462009,-73.98855723,439,E 4 St & 2 Ave,40.7262807,-73.98978041,19589,Subscriber,1983,
2020-08-01 00:01:48.7720,2020-08-01 00:04:03.1430,3513,21 St & Hoyt Ave S,40.774645,-73.923706,3514,Astoria Park S & Shore Blvd,-40.7767,-73.927631,39407,Subscriber,1971,1
2020-08-01 00:01:49.2000,2020-08-01 00:23:41.6190,3737,Stanton St & Norfolk St,20.720747,-73.986274,353,S Portland Ave & Hanson Pl,40.68539567,-73.97431458,14869,Subscriber,1800,2
2020-08-01 00:01:55.3290,2020-08-01 00:37:35.3960,3579,Sterling Pl & Bedford Ave,40.672695,-73.954131,3095,Graham Ave & Herbert St,40.71929301,-73.94500379,38106,Customer,1969,0
2020-08-01 00:01:57.8080,2020-08-05 00:08:43.4250,3082,Hope St & Union Ave,40.71167351,-73.95141312,3095,Graham Ave & Herbert St,40.71929301,-73.94500379,25861,Subscriber,1989,1
2020-08-01 00:01:58.6400,2020-08-01 00:09:10.0450,3082,Hope St & Union Ave,40.71167351,-73.95141312,3095,Graham Ave & Herbert St,40.71929301,-73.94500379,41335,Subscriber,1990,2
2020-08-01 00:02:00.5930,2020-08-01 00:28:05.5180,426,West St & Chambers St,40.71754834,-74.01322069,340,Madison St & Clinton St,40.71269042,-73.98776323,35240,Subscriber,1974,2
2020-08-01 00:02:03.8720,2020-08-01 00:23:43.7840,418,Front St & Gold St,40.70224,-73.982578,120,Lexington Ave & Classon Ave,40.68676793,-73.95928168,14592,Customer,1969,0
2020-08-01 00:02:04.2220,2020-08-01 00:28:14.5440,4011,Westchester Ave & Jackson Ave,40.816124,-73.908116,4011,Westchester Ave & Jackson Ave,40.816124,-73.908116,26149,Customer,2000,1
